,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_group,wealth_segment_binary,RFM_segments_predicted,RFM_score,customer_title,customer_title_description,customer_rank
444,Erasmus,Olenchenko,Male,56,1965-02-03,Software Test Engineer IV,Property,Mass Customer,N,Yes,5,415 Rockefeller Trail,2484,NSW,Australia,7,464,0.8906249999999999,58,51-70,2,Silver,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
445,Carita,Sand,Female,25,1977-03-20,Quality Engineer,Retail,Mass Customer,N,No,16,846 Loftsgordon Crossing,2154,NSW,Australia,11,464,0.8906249999999999,46,31-50,2,Bronze,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
446,Lynnett,Tipper,Female,22,1993-08-03,Social Worker,Health,High Net Worth,N,Yes,2,9 Ridgeview Avenue,3109,VIC,Australia,10,466,0.89,29,20-30,1,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
447,Thorn,Stigers,Male,42,1972-05-19,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,19,6218 Delladonna Parkway,4115,QLD,Australia,8,466,0.89,50,31-50,2,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
448,Lela,Billing,Female,38,1970-12-17,Programmer Analyst III,Financial Services,Mass Customer,N,Yes,18,095 Glacier Hill Circle,2571,NSW,Australia,7,468,0.8898437499999999,52,51-70,2,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
449,Norah,Mapis,Female,75,2000-12-09,Assistant Manager,Argiculture,Mass Customer,N,No,10,057 Victoria Crossing,2263,NSW,Australia,9,468,0.8898437499999999,22,20-30,2,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
450,Moina,Rosenbaum,Female,50,2001-08-04,Graphic Designer,IT,Mass Customer,N,No,14,0 Memorial Road,3109,VIC,Australia,10,468,0.8898437499999999,21,20-30,2,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
451,Ceciley,Harg,Female,50,1990-10-19,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,409 Starling Lane,4172,QLD,Australia,7,471,0.8875,32,31-50,2,Gold,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
452,Torry,de la Valette Parisot,Male,95,1967-03-14,VP Marketing,Telecommunications,Mass Customer,N,Yes,18,36963 Pierstorff Terrace,3168,VIC,Australia,9,471,0.8875,56,51-70,2,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
453,Sigismund,Sedger,Male,9,1999-11-29,Accountant II,Manufacturing,Affluent Customer,N,No,7,8069 Sunbrook Way,2155,NSW,Australia,10,473,0.884,23,20-30,0,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
454,Irvine,Headon,Male,99,1956-04-21,Geologist III,IT,Affluent Customer,N,Yes,20,9 Hovde Way,2322,NSW,Australia,5,473,0.884,66,51-70,0,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
455,Tomkin,Bernlin,Male,7,2001-12-29,Food Chemist,Health,Affluent Customer,N,Yes,9,0492 Kings Street,2480,NSW,Australia,3,475,0.8818749999999999,21,20-30,0,Gold,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
456,Genni,Fanstone,Female,25,1972-07-29,Administrative Assistant II,Entertainment,Mass Customer,N,No,16,1 Fair Oaks Alley,3149,VIC,Australia,10,475,0.8818749999999999,50,31-50,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
457,Aloysius,Killingsworth,Male,89,1957-02-14,VP Quality Control,Financial Services,Mass Customer,N,No,12,625 Mandrake Junction,2145,NSW,Australia,9,478,0.88,66,51-70,2,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
458,Carola,Philler,Female,73,1951-04-30,Dental Hygienist,Health,High Net Worth,N,No,15,1037 Roth Park,2145,NSW,Australia,7,478,0.88,71,71-92,1,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
459,Fitzgerald,Hellikes,Male,25,1979-07-28,Media Manager IV,Health,Mass Customer,N,Yes,10,315 Center Park,3040,VIC,Australia,7,478,0.88,43,31-50,2,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
460,Ingmar,Okenden,Male,97,1959-03-01,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8,1 Graceland Plaza,3216,VIC,Australia,2,478,0.88,64,51-70,2,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
461,Tina,Dunstan,Female,13,1939-03-06,Account Representative IV,Retail,Affluent Customer,N,No,13,98555 Victoria Hill,2171,NSW,Australia,7,483,0.8765625,84,71-92,0,Bronze,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
462,Huberto,Mollatt,Male,82,1961-08-27,Programmer IV,Financial Services,Mass Customer,N,Yes,14,31121 Pierstorff Center,2770,NSW,Australia,7,483,0.8765625,61,51-70,2,Silver,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
463,Adolpho,Bellerby,Male,46,1944-10-25,VP Sales,Financial Services,High Net Worth,N,Yes,13,2763 Buhler Circle,4305,QLD,Australia,4,486,0.875,78,71-92,1,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
464,Kelsey,Hatt,Female,69,1966-06-27,Senior Sales Associate,Financial Services,High Net Worth,N,No,8,309 Maple Wood Pass,3930,VIC,Australia,6,486,0.875,56,51-70,1,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
465,Ariel,McCloid,Male,4,1994-03-13,Human Resources Manager,Financial Services,High Net Worth,N,Yes,6,99 Quincy Parkway,3630,VIC,Australia,1,486,0.875,29,20-30,1,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
466,Bevvy,Openshaw,Female,68,1975-06-15,Staff Scientist,Financial Services,Affluent Customer,N,Yes,10,902 Westend Lane,2318,NSW,Australia,3,486,0.875,47,31-50,0,Silver,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
467,Alexina,Mabley,Female,72,1975-10-12,Web Designer IV,Manufacturing,Mass Customer,N,Yes,10,9 Rieder Junction,2573,NSW,Australia,9,486,0.875,47,31-50,2,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
468,Dawn,Pyffe,Female,56,1965-05-28,Media Manager III,Retail,Mass Customer,N,No,11,734 Veith Way,3155,VIC,Australia,8,492,0.8712499999999999,57,51-70,2,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
469,Claudette,Renackowna,Female,55,1996-02-11,Administrative Officer,Manufacturing,Mass Customer,N,No,2,0800 Dahle Alley,2148,NSW,Australia,8,492,0.8712499999999999,27,20-30,2,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
470,Elianora,Poolton,Female,15,1944-06-14,Programmer II,Financial Services,Mass Customer,N,Yes,21,5 Macpherson Drive,3134,VIC,Australia,9,494,0.867,78,71-92,2,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
471,Anthony,Lindstrom,Male,86,1997-11-01,Geologist IV,Financial Services,Affluent Customer,N,Yes,10,427 Oak Avenue,2205,NSW,Australia,10,495,0.86328125,25,20-30,0,Bronze,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
472,Liane,Poizer,Female,59,1952-05-05,Analyst Programmer,Property,High Net Worth,N,No,13,390 Express Plaza,2076,NSW,Australia,11,495,0.86328125,70,51-70,1,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
473,Romonda,Hallt,Female,69,1960-05-09,Operator,Financial Services,Affluent Customer,N,No,15,703 Ludington Plaza,2480,NSW,Australia,4,498,0.8606250000000001,62,51-70,0,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
474,Sula,Thomann,Female,56,1989-03-17,Assistant Manager,Financial Services,Mass Customer,N,No,6,7 Dayton Circle,2160,NSW,Australia,9,498,0.8606250000000001,34,31-50,2,Platinum,12,Platinum Customer,"Most recent buy, buys often, most spent",1
475,Renell,Earley,Female,5,1954-10-21,Compensation Analyst,Financial Services,Mass Customer,N,Yes,11,79 Manufacturers Plaza,4171,QLD,Australia,5,500,0.86,68,51-70,2,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
476,Cliff,Philipsson,Male,82,1967-02-02,Structural Analysis Engineer,Argiculture,Mass Customer,N,No,16,600 Artisan Drive,3149,VIC,Australia,10,500,0.86,56,51-70,2,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
477,Clevey,Aisthorpe,Male,27,1976-09-20,Software Consultant,Financial Services,Mass Customer,N,Yes,8,0 Veith Way,2009,NSW,Australia,9,502,0.8584999999999999,46,31-50,2,Platinum,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
478,George,Jose,Male,68,1960-12-19,Payment Adjustment Coordinator,Retail,High Net Worth,N,Yes,20,535 Corben Point,4680,QLD,Australia,4,504,0.8500000000000001,62,51-70,1,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
479,Kissiah,Foat,Female,30,1975-09-11,Graphic Designer,Financial Services,Mass Customer,N,Yes,19,1690 Forster Place,2281,NSW,Australia,9,504,0.8500000000000001,47,31-50,2,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
480,Milty,Brauninger,Male,13,1945-07-10,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,No,11,54 6th Trail,2640,NSW,Australia,7,504,0.8500000000000001,77,71-92,1,Bronze,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
481,Killian,Nettles,Male,44,1980-09-01,Marketing Assistant,Financial Services,Affluent Customer,N,No,4,16 Pepper Wood Junction,3803,VIC,Australia,7,507,0.85,42,31-50,0,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
482,Fredia,Favelle,Female,94,1974-08-29,Teacher,Financial Services,Mass Customer,N,Yes,19,4 Arapahoe Terrace,4014,QLD,Australia,8,507,0.85,48,31-50,2,Platinum,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
483,Katleen,Arnoult,Female,6,1976-11-24,VP Product Management,Manufacturing,Mass Customer,N,Yes,13,540 Farragut Avenue,2066,NSW,Australia,9,507,0.85,46,31-50,2,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
484,Gaultiero,Fibbens,Male,41,1980-03-14,Help Desk Technician,Financial Services,Affluent Customer,N,No,9,938 Bartillon Hill,2035,NSW,Australia,11,507,0.85,43,31-50,0,Gold,12,Platinum Customer,"Most recent buy, buys often, most spent",1
485,Inglebert,Aspinal,Male,4,1973-10-13,Financial Analyst,Financial Services,Mass Customer,N,No,11,612 Annamark Center,2176,NSW,Australia,8,507,0.85,49,31-50,2,Silver,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
486,Jammal,Devenny,Male,57,1999-05-14,Marketing Manager,Retail,High Net Worth,N,No,12,18 Sage Plaza,3152,VIC,Australia,9,507,0.85,23,20-30,1,Bronze,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
487,Adriane,Richardson,Female,81,1976-03-10,Data Coordiator,Manufacturing,High Net Worth,N,No,9,4 Randy Street,3070,VIC,Australia,8,513,0.8415,47,31-50,1,Platinum,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
488,Jodi,Lermit,Female,94,1954-01-30,Associate Professor,Health,Mass Customer,N,Yes,10,05 Corry Center,4021,QLD,Australia,2,513,0.8415,69,51-70,2,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
489,Emelia,Ackwood,Female,72,1988-09-30,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,10,1 South Street,4183,QLD,Australia,9,515,0.839375,34,31-50,2,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
490,Andee,Huke,Female,91,1971-06-28,Associate Professor,Manufacturing,Mass Customer,N,No,9,4810 Kim Park,3858,VIC,Australia,2,515,0.839375,51,51-70,2,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
491,Isa,Fominov,Male,75,2001-06-21,Physical Therapy Assistant,Financial Services,Mass Customer,N,Yes,5,80388 Ryan Place,2010,NSW,Australia,9,515,0.839375,21,20-30,2,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
492,Zabrina,Margram,Female,87,1964-05-15,Associate Professor,Manufacturing,High Net Worth,N,Yes,11,1092 Kinsman Parkway,4053,QLD,Australia,8,515,0.839375,58,51-70,1,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
493,Maddalena,Angood,Female,79,1999-07-28,Associate Professor,Manufacturing,Affluent Customer,N,No,12,1 Bluejay Court,2320,NSW,Australia,4,515,0.839375,23,20-30,0,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
494,Sofie,Worsfold,Female,87,1954-10-06,Environmental Tech,Retail,Mass Customer,N,Yes,9,7 Maple Wood Plaza,4125,QLD,Australia,6,520,0.8375,68,51-70,2,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
495,Elmira,Vasilyev,Female,33,1951-10-14,Senior Quality Engineer,Manufacturing,High Net Worth,N,No,12,12 Eastlawn Terrace,2007,NSW,Australia,9,520,0.8375,71,71-92,1,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
496,Free,Rowland,Male,42,1956-05-17,Associate Professor,Financial Services,Mass Customer,N,Yes,12,24929 Spaight Junction,3796,VIC,Australia,8,520,0.8375,66,51-70,2,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
497,Worthington,Cohane,Male,60,1991-01-23,Chief Design Engineer,Entertainment,High Net Worth,N,No,2,846 Daystar Lane,2000,NSW,Australia,12,520,0.8375,32,31-50,1,Bronze,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
498,Bailey,Bereford,Male,44,1950-09-30,Senior Sales Associate,Argiculture,Affluent Customer,N,Yes,11,36 Golf Course Circle,2444,NSW,Australia,6,524,0.83671875,72,71-92,0,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
499,Perry,Whitehurst,Male,79,1980-05-29,Structural Engineer,Manufacturing,High Net Worth,N,Yes,8,0 Nelson Crossing,3155,VIC,Australia,7,524,0.83671875,42,31-50,1,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
500,Antony,Tuma,Male,11,1954-03-10,Environmental Tech,Telecommunications,High Net Worth,N,Yes,13,93264 Almo Plaza,3078,VIC,Australia,10,526,0.833,69,51-70,1,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
501,Corene,Hallgate,Female,26,1964-11-06,Associate Professor,Financial Services,Mass Customer,N,Yes,14,2109 Shoshone Court,3103,VIC,Australia,12,526,0.833,58,51-70,2,Platinum,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
502,Nico,Chadwick,Male,97,1953-05-24,Research Assistant IV,Financial Services,Affluent Customer,N,No,13,355 Roxbury Lane,3190,VIC,Australia,8,526,0.833,69,51-70,0,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
503,Joline,Skipperbottom,Female,59,1972-06-27,Desktop Support Technician,Financial Services,High Net Worth,N,No,9,2 Warrior Crossing,2161,NSW,Australia,9,529,0.83,50,31-50,1,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
504,Ivy,Farr,Female,56,1973-07-03,Office Assistant IV,IT,High Net Worth,N,No,19,08470 Kingsford Lane,2120,NSW,Australia,11,530,0.8287500000000001,49,31-50,1,Silver,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
505,Dallas,Lavalde,Female,18,1998-12-19,Product Engineer,Financial Services,Mass Customer,N,No,12,16898 Donald Plaza,2323,NSW,Australia,4,530,0.8287500000000001,24,20-30,2,Gold,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
506,Hilario,McCulloch,Male,61,1986-01-10,Physical Therapy Assistant,Retail,Mass Customer,N,No,8,799 Luster Road,3051,VIC,Australia,8,530,0.8287500000000001,37,31-50,2,Platinum,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
507,Jim,Haddrell,Male,55,1955-04-08,Associate Professor,Financial Services,Mass Customer,N,No,9,53 Dryden Trail,2358,NSW,Australia,3,530,0.8287500000000001,67,51-70,2,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
508,Jacobo,Mucklow,Male,62,1952-12-04,Computer Systems Analyst I,Financial Services,High Net Worth,N,Yes,22,5512 Ronald Regan Hill,3122,VIC,Australia,8,530,0.8287500000000001,70,51-70,1,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
509,Gretel,Paschke,Female,10,1956-05-29,Editor,Financial Services,Mass Customer,N,Yes,17,72 Melrose Street,4074,QLD,Australia,7,536,0.8250000000000001,66,51-70,2,Bronze,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
510,Jethro,Mertel,Male,16,1978-12-10,Software Consultant,Argiculture,Mass Customer,N,Yes,15,3460 Dapin Street,2262,NSW,Australia,6,536,0.8250000000000001,44,31-50,2,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
511,Dwain,Hatch,Male,62,1994-11-16,Marketing Assistant,Health,Affluent Customer,N,No,15,5 Hovde Lane,3028,VIC,Australia,8,536,0.8250000000000001,28,20-30,0,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
512,Lucretia,D'Agostini,Female,41,1978-12-14,Database Administrator III,Manufacturing,High Net Worth,N,No,15,4 Gale Center,3185,VIC,Australia,7,536,0.8250000000000001,44,31-50,1,Bronze,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
513,Claude,Bowstead,Female,37,1997-11-29,Accounting Assistant III,Manufacturing,Mass Customer,N,No,7,5263 Stone Corner Crossing,2217,NSW,Australia,12,536,0.8250000000000001,25,20-30,2,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
514,Donn,MacGregor,Male,80,1965-04-22,Civil Engineer,Manufacturing,High Net Worth,N,No,5,0439 Mandrake Park,2046,NSW,Australia,10,536,0.8250000000000001,57,51-70,1,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
515,Laurel,Devennie,Female,78,1976-09-25,VP Product Management,Manufacturing,Affluent Customer,N,No,13,069 Hoard Pass,4352,QLD,Australia,5,536,0.8250000000000001,46,31-50,0,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
516,Elvira,Darthe,Female,10,1975-04-08,Accounting Assistant I,Financial Services,Affluent Customer,N,No,16,89 Green Ridge Point,2168,NSW,Australia,9,536,0.8250000000000001,47,31-50,0,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
517,Angie,Tansley,Male,68,1950-11-30,VP Sales,Manufacturing,Mass Customer,N,No,8,8 Cardinal Junction,2444,NSW,Australia,7,544,0.8245,72,71-92,2,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
518,Terrence,Dalligan,Male,60,1998-02-19,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,2,240 Main Hill,3200,VIC,Australia,6,544,0.8245,25,20-30,1,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
519,Katy,Crooke,Female,0,1977-06-30,Food Chemist,Health,Mass Customer,N,No,13,67081 Burrows Center,2111,NSW,Australia,12,546,0.8234374999999999,45,31-50,2,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
520,Sammy,Borsi,Female,99,1972-04-27,Accountant III,Financial Services,Mass Customer,N,No,5,0 Kipling Way,2289,NSW,Australia,7,546,0.8234374999999999,50,31-50,2,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
521,Morganica,Ainsbury,Female,37,1973-01-06,Senior Editor,Entertainment,High Net Worth,N,Yes,9,1 Raven Way,2151,NSW,Australia,10,546,0.8234374999999999,50,31-50,1,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
522,Nils,Champion,Male,69,1984-07-06,Programmer III,Retail,Affluent Customer,N,No,13,261 Holy Cross Park,2750,NSW,Australia,9,549,0.82,38,31-50,0,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
523,Beverlee,Querree,Female,42,1991-04-21,Marketing Manager,Financial Services,High Net Worth,N,Yes,12,891 Ohio Terrace,2075,NSW,Australia,12,549,0.82,31,31-50,1,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
524,Cami,Eitter,Female,34,1979-01-03,Professor,Manufacturing,High Net Worth,N,Yes,11,1408 Hovde Circle,3081,VIC,Australia,9,551,0.818125,44,31-50,1,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
525,Reiko,Degenhardt,Female,83,1976-01-16,Financial Analyst,Financial Services,High Net Worth,N,Yes,5,50897 Northfield Road,4280,QLD,Australia,6,552,0.816,47,31-50,1,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
526,Cord,Dunsmore,Male,12,1999-04-21,Internal Auditor,Manufacturing,Mass Customer,N,Yes,13,596 Boyd Park,4301,QLD,Australia,3,552,0.816,23,20-30,2,Silver,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
527,Gabey,Kennicott,Female,55,1958-05-14,Developer I,Financial Services,Affluent Customer,N,No,17,8 Fordem Place,2322,NSW,Australia,6,552,0.816,64,51-70,0,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
528,Jacqui,Devey,Female,79,1995-10-01,Analyst Programmer,Financial Services,High Net Worth,N,Yes,13,656 Kennedy Crossing,2261,NSW,Australia,8,555,0.8125,27,20-30,1,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
529,Byrom,Ramas,Male,23,1993-11-02,Help Desk Technician,Manufacturing,High Net Worth,N,No,12,2 Jackson Place,2528,NSW,Australia,7,555,0.8125,29,20-30,1,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
530,Worthington,Ahmed,Male,79,1972-03-24,Senior Cost Accountant,Financial Services,High Net Worth,N,No,13,39408 Manufacturers Road,3335,VIC,Australia,3,555,0.8125,51,51-70,1,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
531,Chico,Dye,Male,46,1994-02-04,Speech Pathologist,Manufacturing,High Net Worth,N,No,13,168 Schlimgen Center,2526,NSW,Australia,9,555,0.8125,29,20-30,1,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
532,Davidde,Cockroft,Male,70,1947-04-21,Geological Engineer,Manufacturing,High Net Worth,N,No,8,8 Kim Avenue,2158,NSW,Australia,12,555,0.8125,75,71-92,1,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
533,Charlie,Dmych,Male,60,1950-03-31,Account Coordinator,Manufacturing,High Net Worth,N,No,13,920 Cambridge Way,2263,NSW,Australia,6,555,0.8125,73,71-92,1,Gold,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
534,Donn,Chaney,Male,15,1951-01-29,Research Assistant II,Financial Services,Mass Customer,N,No,13,4 Schlimgen Trail,4701,QLD,Australia,3,561,0.81015625,72,71-92,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
535,Kamila,Parsonage,Female,80,1954-03-08,Associate Professor,Property,Mass Customer,N,No,5,31 Mccormick Court,4131,QLD,Australia,8,562,0.81,69,51-70,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
536,Barth,Sapshed,Male,4,1994-06-16,Executive Secretary,Financial Services,Mass Customer,N,Yes,13,65 Milwaukee Lane,4520,QLD,Australia,10,563,0.8075,28,20-30,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
537,Padriac,Collacombe,Male,67,1967-04-07,Software Consultant,Health,Affluent Customer,N,No,13,76 Mendota Park,2090,NSW,Australia,10,563,0.8075,55,51-70,0,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
538,Olive,Mozzi,Female,87,1955-07-06,Account Representative IV,Retail,Affluent Customer,N,Yes,20,26667 Rigney Place,2567,NSW,Australia,9,563,0.8075,67,51-70,0,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
539,Benedict,Rosas,Male,73,1955-11-25,Actuary,Financial Services,High Net Worth,N,Yes,15,898 Muir Court,2142,NSW,Australia,6,563,0.8075,67,51-70,1,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
540,Virginia,De Antoni,Female,17,1964-03-14,Executive Secretary,Telecommunications,High Net Worth,N,Yes,12,88093 Pierstorff Plaza,2030,NSW,Australia,10,563,0.8075,59,51-70,1,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
541,Nicolas,O'Donnell,Male,40,1986-09-25,Internal Auditor,Financial Services,Mass Customer,N,Yes,14,3319 Anthes Crossing,3177,VIC,Australia,7,568,0.8,36,31-50,2,Silver,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
542,Oswald,MacCarlich,Male,81,1991-11-24,Assistant Media Planner,Entertainment,Mass Customer,N,No,14,16 Mosinee Place,4717,QLD,Australia,1,568,0.8,31,31-50,2,Gold,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
543,Ailyn,Howgate,Female,66,2001-09-27,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,2,197 Northport Plaza,4213,QLD,Australia,7,568,0.8,21,20-30,2,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
544,Karol,Salthouse,Female,53,1968-07-29,Research Assistant III,Financial Services,Mass Customer,N,Yes,18,10236 Mifflin Avenue,2570,NSW,Australia,8,568,0.8,54,51-70,2,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
545,Esdras,Birchett,Male,81,1950-12-09,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,21,5287 Clarendon Plaza,2258,NSW,Australia,9,568,0.8,72,71-92,2,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
546,Wilfrid,Gertray,Male,1,1942-08-23,Accounting Assistant I,Financial Services,Mass Customer,N,No,16,38407 Sutteridge Circle,2766,NSW,Australia,8,568,0.8,80,71-92,2,Bronze,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
547,Charmain,Styles,Female,49,1965-02-25,Programmer Analyst I,Property,High Net Worth,N,Yes,18,423 Holy Cross Lane,3029,VIC,Australia,7,574,0.7989999999999999,58,51-70,1,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
548,Kirsteni,Gritskov,Female,66,1998-05-12,Associate Professor,Financial Services,Mass Customer,N,No,4,743 Stuart Terrace,2560,NSW,Australia,7,575,0.796875,24,20-30,2,Platinum,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
549,Bobby,Summersby,Male,90,1943-10-27,Sales Associate,Financial Services,Affluent Customer,N,No,7,1478 Oak Valley Park,3350,VIC,Australia,2,575,0.796875,79,71-92,0,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
550,Shepherd,Dutchburn,Male,33,1976-08-12,Senior Sales Associate,Financial Services,High Net Worth,N,Yes,9,8970 Anhalt Junction,2160,NSW,Australia,9,575,0.796875,46,31-50,1,Bronze,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
551,Berenice,Kaesmakers,Female,64,1994-10-15,Sales Representative,Retail,Mass Customer,N,No,11,563 Waywood Park,2145,NSW,Australia,9,575,0.796875,28,20-30,2,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
